# Error, Accuracy
2.382988013468226640e+01,0.000000000000000000e+00
1.369601094628376892e+01,0.000000000000000000e+00
1.360768158889837132e+01,0.000000000000000000e+00
1.360688235259065415e+01,0.000000000000000000e+00
1.360684053434852281e+01,0.000000000000000000e+00
1.360681523234181434e+01,0.000000000000000000e+00
1.360679030913134291e+01,0.000000000000000000e+00
1.360676587435749418e+01,0.000000000000000000e+00
1.360674196630613153e+01,0.000000000000000000e+00
1.360671856349799391e+01,0.000000000000000000e+00
1.360669563914063751e+01,0.000000000000000000e+00
1.360667316737234067e+01,0.000000000000000000e+00
1.360665112371167318e+01,0.000000000000000000e+00
1.360662948499578384e+01,0.000000000000000000e+00
1.360660822928568869e+01,0.000000000000000000e+00
1.360658733577669466e+01,0.000000000000000000e+00
1.360656678471586645e+01,0.000000000000000000e+00
1.360654655732602869e+01,0.000000000000000000e+00
1.360652663573591603e+01,0.000000000000000000e+00
1.360650700291584769e+01,0.000000000000000000e+00
1.360648764261799393e+01,0.000000000000000000e+00
1.360646853932155942e+01,0.000000000000000000e+00
1.360644967818167572e+01,0.000000000000000000e+00
1.360643104498234202e+01,0.000000000000000000e+00
1.360641262609240876e+01,0.000000000000000000e+00
1.360639440842479608e+01,0.000000000000000000e+00
1.360637637939867695e+01,0.000000000000000000e+00
1.360635852690379721e+01,0.000000000000000000e+00
1.360634083926768589e+01,0.000000000000000000e+00
1.360632330522441613e+01,0.000000000000000000e+00
1.360630591388578914e+01,0.000000000000000000e+00
1.360628865471405469e+01,0.000000000000000000e+00
1.360627151749636887e+01,0.000000000000000000e+00
1.360625449232060369e+01,0.000000000000000000e+00
1.360623756955266117e+01,0.000000000000000000e+00
1.360622073981505764e+01,0.000000000000000000e+00
1.360620399396642455e+01,0.000000000000000000e+00
1.360618732308232559e+01,0.000000000000000000e+00
1.360617071843669912e+01,0.000000000000000000e+00
1.360615417148457063e+01,0.000000000000000000e+00
1.360613767384517381e+01,0.000000000000000000e+00
1.360612121728587987e+01,0.000000000000000000e+00
1.360610479370696879e+01,0.000000000000000000e+00
1.360608839512663160e+01,0.000000000000000000e+00
1.360607201366676655e+01,0.000000000000000000e+00
1.360605564153904545e+01,0.000000000000000000e+00
1.360603927103162825e+01,0.000000000000000000e+00
1.360602289449583502e+01,0.000000000000000000e+00
1.360600650433353387e+01,0.000000000000000000e+00
1.360599009298450390e+01,0.000000000000000000e+00
1.360597365291416772e+01,0.000000000000000000e+00
1.360595717660133630e+01,0.000000000000000000e+00
1.360594065652627727e+01,0.000000000000000000e+00
1.360592408515874929e+01,0.000000000000000000e+00
1.360590745494601883e+01,0.000000000000000000e+00
1.360589075830099404e+01,0.000000000000000000e+00
1.360587398759038358e+01,0.000000000000000000e+00
1.360585713512251971e+01,0.000000000000000000e+00
1.360584019313536430e+01,0.000000000000000000e+00
1.360582315378415252e+01,0.000000000000000000e+00
1.360580600912890681e+01,0.000000000000000000e+00
1.360578875112181407e+01,0.000000000000000000e+00
1.360577137159407890e+01,0.000000000000000000e+00
1.360575386224277672e+01,0.000000000000000000e+00
1.360573621461693783e+01,0.000000000000000000e+00
1.360571842010364207e+01,0.000000000000000000e+00
1.360570046991333548e+01,0.000000000000000000e+00
1.360568235506460866e+01,0.000000000000000000e+00
1.360566406636873893e+01,0.000000000000000000e+00
1.360564559441317734e+01,0.000000000000000000e+00
1.360562692954457020e+01,0.000000000000000000e+00
1.360560806185094584e+01,0.000000000000000000e+00
1.360558898114312676e+01,0.000000000000000000e+00
1.360556967693509556e+01,0.000000000000000000e+00
1.360555013842347272e+01,0.000000000000000000e+00
1.360553035446589121e+01,0.000000000000000000e+00
1.360551031355815432e+01,0.000000000000000000e+00
1.360549000381008433e+01,0.000000000000000000e+00
1.360546941292010636e+01,0.000000000000000000e+00
1.360544852814813233e+01,0.000000000000000000e+00
1.360542733628697221e+01,0.000000000000000000e+00
1.360540582363180029e+01,0.000000000000000000e+00
1.360538397594779347e+01,0.000000000000000000e+00
1.360536177843551364e+01,0.000000000000000000e+00
1.360533921569426674e+01,0.000000000000000000e+00
1.360531627168261970e+01,0.000000000000000000e+00
1.360529292967629544e+01,0.000000000000000000e+00
1.360526917222331811e+01,0.000000000000000000e+00
1.360524498109562153e+01,0.000000000000000000e+00
1.360522033723724711e+01,0.000000000000000000e+00
1.360519522070868526e+01,0.000000000000000000e+00
1.360516961062701569e+01,0.000000000000000000e+00
1.360514348510132798e+01,0.000000000000000000e+00
1.360511682116319854e+01,0.000000000000000000e+00
1.360508959469152934e+01,0.000000000000000000e+00
1.360506178033125479e+01,0.000000000000000000e+00
1.360503335140562342e+01,0.000000000000000000e+00
1.360500427982060501e+01,0.000000000000000000e+00
1.360497453596172512e+01,0.000000000000000000e+00
1.360494408858146187e+01,0.000000000000000000e+00
1.360491290467707692e+01,0.000000000000000000e+00
1.360488094935727865e+01,0.000000000000000000e+00
1.360484818569676690e+01,0.000000000000000000e+00
1.360481457457740362e+01,0.000000000000000000e+00
1.360478007451420268e+01,0.000000000000000000e+00
1.360474464146472151e+01,0.000000000000000000e+00
1.360470822861990570e+01,0.000000000000000000e+00
1.360467078617385717e+01,0.000000000000000000e+00
1.360463226107060564e+01,0.000000000000000000e+00
1.360459259672446741e+01,0.000000000000000000e+00
1.360455173271115292e+01,0.000000000000000000e+00
1.360450960442577717e+01,0.000000000000000000e+00
1.360446614270341392e+01,0.000000000000000000e+00
